Region,Fem_Positivo,Fem_Negativo,Total_fem,Mas_Positivo,Mas_Negativo,Total_Mas
Hubei,6212,28514,34726,6897,26505,33402
Henan,90,491,581,125,570,695
Zhejiang,74,534,608,122,538,660
Guangdong,43,718,761,79,748,827
Hunan,60,434,494,97,428,525
Anhui,57,401,458,90,443,533
Jiangxi,48,397,445,81,411,492
Shandong,26,229,255,42,490,532
Jiangsu,19,279,298,37,318,355
Chongqing,43,232,275,60,244,304
Sichuan,42,221,263,53,245,298
Others,303,2113,2416,362,2293,2655
