"V1","V2","V3","V4"
"Hubei","0.5466","0.5132","0.5822"
"Henan","0.4488","0.1429","1.2173"
"Zhejiang","NaN","NaN","NaN"
"Guangdong","NaN","NaN","NaN"
"Hunan","1.0627","0.0768","14.7084"
"Anhui","0.233","0.0049","2.0933"
"Jiangxi","NaN","NaN","NaN"
"Shandong","2.7778","0.4662","19.1027"
"Jiangsu","NaN","NaN","NaN"
"Chongqing","2.208","0.3137","24.588"
"Sichuan","2.263","0.1172","134.033"
"Others","0.723","0.417","1.2335"
