Region,Fem_Positivo,Fem_Negativo,Total_fem,Mas_Positivo,Mas_Negativo,Total_Mas
Hubei,1635,33091,34726,2877,30525,33402
Henan,6,575,581,16,679,695
Zhejiang,1,607,608,0,660,660
Guangdong,0,761,761,8,819,827
Hunan,2,492,494,2,523,525
Anhui,1,457,458,5,528,533
Jiangxi,1,444,445,0,492,492
Shandong,4,251,255,3,529,532
Jiangsu,0,298,298,0,355,355
Chongqing,4,271,275,2,302,304
Sichuan,2,261,263,1,297,298
Others,25,2391,2416,38,2617,2655
